Material,Plant,TotalStock
90000985,1715,0.000
90000986,1715,0.000
90000987,1715,0.000
90000988,1715,0.000
90000989,1715,0.000
90000990,1715,0.000
90000991,1715,0.000
90000992,1715,0.000
90000993,1715,0.000
90000994,1715,0.000
90000995,1715,0.000
90000996,1715,12.000
90000997,1715,2.000
90000998,1715,0.000
90000999,1715,1.000
90001000,1715,2.000
90001001,1715,0.000
90001002,1715,0.000
90001003,1715,0.000
90001004,1715,2.000
90001005,1715,2.000
90001006,1715,1.000
90001007,1715,1.000
90001008,1715,0.000
90001009,1715,1.000
90001010,1715,0.000
90001011,1715,0.000
90001012,1715,1.000
90001013,1715,1.000
90001014,1715,1.000
90001015,1715,0.000
90001016,1715,0.000
90001017,1715,0.000
90001018,1715,0.000
90001019,1715,0.000
90001020,1715,0.000
90001021,1715,0.000
90001022,1715,0.000
90001023,1715,0.000
90001024,1715,0.000
90001025,1715,0.000
90001026,1715,0.000
90001027,1715,0.000
90001028,1715,0.000
90001029,1715,0.000
90001030,1715,0.000
90001031,1715,0.000
90001032,1715,0.000
90001033,1715,0.000
90001034,1715,0.000
90001035,1715,0.000
90001036,1715,3.000
90001037,1715,0.000
90001038,1715,0.000
90001039,1715,0.000
90001040,1715,0.000
90001041,1715,1.000
90001042,1715,0.000
90001043,1715,3.000
90001044,1715,2.000
90001045,1715,0.000
90001046,1715,0.000
90001047,1715,0.000
90001048,1715,0.000
90001049,1715,12.000
90001050,1715,0.000
90001051,1715,0.000
90001052,1715,0.000
90001053,1715,0.000
90001054,1715,0.000
90001055,1715,0.000
90001056,1715,0.000
90001057,1715,0.000
90001058,1715,0.000
90001059,1715,0.000
90001060,1715,0.000
90001061,1715,0.000
90001062,1715,2.000
90001063,1715,0.000
90001064,1715,0.000
90001065,1715,0.000
90001066,1715,0.000
90001067,1715,0.000
90001068,1715,1.000
90001069,1715,1.000
90001070,1715,2.000
90001071,1715,2.000
90001072,1715,2.000
90001073,1715,2.000
90001074,1715,0.000
90001075,1715,6.000
90001076,1715,0.000
90001077,1715,0.000
90001078,1715,0.000
90001079,1715,0.000
90001080,1715,2.000
90001081,1715,0.000
90001082,1715,0.000
90001083,1715,3.000
90001084,1715,0.000
90001085,1715,1.000
90001086,1715,0.000
90001087,1715,0.000
90001088,1715,0.000
90001089,1715,0.000
90001090,1715,0.000
90001091,1715,0.000
90001092,1715,0.000
90001093,1715,0.000
90001094,1715,0.000
90001095,1715,0.000
90001096,1715,0.000
90001097,1715,1.000
90001098,1715,1.000
90001099,1715,1.000
90001100,1715,0.000
90001101,1715,0.000
90001102,1715,0.000
90001103,1715,2.000
90001104,1715,0.000
90001105,1715,0.000
90001106,1715,0.000
90001107,1715,0.000
90001108,1715,1.000
90001109,1715,1.000
90001110,1715,2.000
90001111,1715,2.000
90001112,1715,2.000
90001113,1715,1.000
90001114,1715,1.000
90001115,1715,0.000
90001116,1715,4.000
90001117,1715,1.000
90001118,1715,1.000
90001119,1715,0.000
90001120,1715,1.000
90001121,1715,4.000
90001122,1715,0.000
90001123,1715,3.000
90001124,1715,0.000
90001125,1715,1.000
90001126,1715,0.000
90001127,1715,0.000
90001128,1715,1.000
90001129,1715,0.000
90001130,1715,0.000
90001131,1715,0.000
90001132,1715,0.000
90001133,1715,1.000
90001134,1715,0.000
90001135,1715,0.000
90001136,1715,0.000
90001137,1715,1.000
90001138,1715,1.000
90001139,1715,1.000
90001140,1715,1.000
90001141,1715,0.000
90001142,1715,2.000
90001143,1715,1.000
90001144,1715,1.000
90001145,1715,1.000
90001146,1715,0.000
90001147,1715,0.000
90001148,1715,0.000
90001149,1715,1.000
90001150,1715,1.000
90001151,1715,0.000
90001152,1715,0.000
90001153,1715,1.000
90001154,1715,4.000
90001155,1715,0.000
90001156,1715,1.000
90001157,1715,0.000
90001158,1715,0.000
90001159,1715,2.000
90001160,1715,2.000
90001161,1715,1.000
90001162,1715,1.000
90001163,1715,2.000
90001164,1715,1.000
90001165,1715,9.000
90001166,1715,10.000
90001167,1715,8.000
90001168,1715,8.000
90001169,1715,6.000
90001170,1715,200.000
90001171,1715,0.000
90001172,1715,1.000
90001173,1715,0.000
90001174,1715,0.000
90001175,1715,1.000
90001176,1715,1.000
90001177,1715,1.000
90001178,1715,0.000
90001179,1715,2.000
90001180,1715,1.000
90001181,1715,8.000
90001182,1715,0.000
90001183,1715,0.000
90001184,1715,0.000
90001185,1715,0.000
90001186,1715,0.000
90001187,1715,3.000
90001188,1715,4.000
90001189,1715,20.000
90001190,1715,5.000
90001191,1715,0.000
90001192,1715,0.000
90001193,1715,0.000
90001194,1715,1.000
90001195,1715,1.000
90001196,1715,1.000
90001197,1715,1.000
90001198,1715,1.000
90001199,1715,1.000
90001200,1715,3.000
90001201,1715,1.000
90001202,1715,1.000
90001203,1715,1.000
90001204,1715,1.000
90001205,1715,1.000
90001206,1715,1.000
90001207,1715,1.000
90001208,1715,1.000
90001209,1715,1.000
90001210,1715,5.000
90001211,1715,18.000
90001212,1715,0.000
90001213,1715,17.000
90001214,1715,0.000
90001215,1715,0.000
90001216,1715,0.000
90001217,1715,4.000
90001218,1715,2.000
90001219,1715,2.000
90001220,1715,3.000
90001221,1715,0.000
90001222,1715,0.000
90001223,1715,1.000
90001224,1715,1.000
90001225,1715,0.000
90001226,1715,0.000
90001227,1715,0.000
90001228,1715,0.000
90001229,1715,0.000
90001230,1715,0.000
90001231,1715,0.000
90001232,1715,0.000
90001233,1715,2.000
90001234,1715,0.000
90001235,1715,0.000
90001236,1715,6.000
90001237,1715,0.000
90001238,1715,0.000
90001239,1715,0.000
90001240,1715,0.000
90001241,1715,0.000
90001242,1715,0.000
90001243,1715,0.000
90001244,1715,0.000
90001245,1715,0.000
90001246,1715,0.000
90001247,1715,0.000
90001248,1715,0.000
90001249,1715,0.000
90001250,1715,0.000
90001251,1715,2.000
90001252,1715,0.000
90001253,1715,0.000
90001254,1715,0.000
90001255,1715,0.000
90001256,1715,0.000
90001257,1715,0.000
90001258,1715,0.000
90001259,1715,0.000
90001260,1715,0.000
90001261,1715,0.000
90001262,1715,1.000
90001263,1715,0.000
90001264,1715,0.000
90001265,1715,0.000
90001266,1715,0.000
