Functional Location,Plnt,BOM Usg,Item,Component,Quantity,Un,Un,A
1715-05-01-08-16A-02G-016-0007,1715,4,0130,90000265,12,EA,EA,C
1715-05-01-08-16A-02G-016-0007,1715,4,0230,90000693,1,EA,EA,C
1715-05-01-08-16A-02G-016-0007,1715,4,0240,90000694,1,EA,EA,C
1715-05-01-08-16A-02G-016-0007,1715,4,0220,90000188,1,EA,EA,C
1715-05-01-08-16A-02G-016-0007,1715,4,0170,90000039,1,EA,EA,C
1715-05-01-08-16A-02G-016-0007,1715,4,0260,90000501,1,EA,EA,C
1715-05-01-08-16A-02G-016-0007,1715,4,0060,90000986,8,EA,EA,C
1715-05-01-08-16A-02G-016-0007,1715,4,0070,90000987,8,EA,EA,C
1715-05-01-08-16A-02G-016-0007,1715,4,0080,90000988,4,EA,EA,C
1715-05-01-08-16A-02G-016-0007,1715,4,0110,90000537,2,EA,EA,C
1715-05-01-08-16A-02G-016-0007,1715,4,0050,90000984,4,EA,EA,C
1715-05-01-08-16A-02G-016-0007,1715,4,0040,90001027,9,EA,EA,C
1715-05-01-08-16A-02G-016-0007,1715,4,0030,90001026,3,EA,EA,C
1715-05-01-08-16A-02G-016-0007,1715,4,0020,90001023,9,EA,EA,C
1715-05-01-08-16A-02G-016-0007,1715,4,0010,90001022,3,EA,EA,C
1715-05-01-08-16A-02G-016-0007,1715,4,0190,90000057,1,EA,EA,C
1715-05-01-08-16A-02G-016-0007,1715,4,0200,90000908,1,EA,EA,C
1715-05-01-08-16A-02G-016-0007,1715,4,0210,90000909,1,EA,EA,C
1715-05-01-08-16A-02H-016-0008,1715,4,0240,90000170,42,EA,EA,C
1715-05-01-08-16A-02H-016-0008,1715,4,0010,90001022,1,EA,EA,C
1715-05-01-08-16A-02H-016-0008,1715,4,0030,90001026,1,EA,EA,C
1715-05-01-08-16A-02H-016-0008,1715,4,0070,90000537,2,EA,EA,C
1715-05-01-08-16A-02H-016-0008,1715,4,0090,90000265,4,EA,EA,C
1715-05-01-08-16A-02H-016-0008,1715,4,0100,90000535,2,EA,EA,C
1715-05-01-08-16A-02H-016-0008,1715,4,0110,90000125,8,EA,EA,C
1715-05-01-08-16A-02H-016-0008,1715,4,0120,90000126,5,EA,EA,C
1715-05-01-08-16A-02H-016-0008,1715,4,0210,90000742,6,EA,EA,C
1715-05-01-08-16A-02H-016-0008,1715,4,0040,90001027,3,EA,EA,C
1715-05-01-08-16A-02H-016-0008,1715,4,0020,90001023,3,EA,EA,C
1715-05-01-08-16A-02H-016-0008,1715,4,0250,90000351,1,EA,EA,C
1715-05-01-08-16A-02H-016-0008,1715,4,0230,90000502,1,EA,EA,C
1715-05-01-08-16A-02H-016-0008,1715,4,0220,90000501,1,EA,EA,C
1715-05-01-08-16A-02H-016-0008,1715,4,0200,90000694,1,EA,EA,C
1715-05-01-08-16A-02H-016-0008,1715,4,0190,90000693,1,EA,EA,C
1715-05-01-08-16A-02H-016-0008,1715,4,0170,90000909,1,EA,EA,C
1715-05-01-08-16A-02H-016-0008,1715,4,0050,90001032,1,EA,EA,C
1715-05-01-08-16A-02H-016-0008,1715,4,0060,90001034,1,EA,EA,C
1715-05-01-08-16A-02H-016-0008,1715,4,0080,90000263,1,EA,EA,C
1715-05-01-08-16A-02H-016-0008,1715,4,0130,90000039,1,EA,EA,C
1715-05-01-08-16A-02H-016-0008,1715,4,0140,90000040,1,EA,EA,C
1715-05-01-08-16A-02H-016-0008,1715,4,0150,90000057,1,EA,EA,C
1715-05-01-08-16A-02H-016-0008,1715,4,0160,90000908,1,EA,EA,C
1715-05-01-08-16A-02H-016-0008,1715,4,0180,90000188,1,EA,EA,C
1715-05-01-08-16B-02A-016-0009,1715,4,0040,90000264,1,EA,EA,C
1715-05-01-08-16B-02A-016-0009,1715,4,0020,90001033,1,EA,EA,C
1715-05-01-08-16B-02A-016-0009,1715,4,0010,90001032,1,EA,EA,C
1715-05-01-08-16B-02A-016-0009,1715,4,0160,90000170,44,EA,EA,C
1715-05-01-08-16B-02A-016-0009,1715,4,0050,90000126,4,EA,EA,C
1715-05-01-08-16B-02A-016-0009,1715,4,0030,90000537,2,EA,EA,C
1715-05-01-08-16B-02A-016-0009,1715,4,0070,90000040,1,EA,EA,C
1715-05-01-08-16B-02A-016-0009,1715,4,0170,90000351,1,EA,EA,C
1715-05-01-08-16B-02A-016-0009,1715,4,0080,90000057,1,EA,EA,C
1715-05-01-08-16B-02A-016-0009,1715,4,0090,90000908,1,EA,EA,C
1715-05-01-08-16B-02A-016-0009,1715,4,0100,90000909,1,EA,EA,C
1715-05-01-08-16B-02A-016-0009,1715,4,0110,90000188,1,EA,EA,C
1715-05-01-08-16B-02A-016-0009,1715,4,0120,90000693,1,EA,EA,C
1715-05-01-08-16B-02A-016-0009,1715,4,0130,90000694,1,EA,EA,C
1715-05-01-08-16B-02A-016-0009,1715,4,0140,90000501,1,EA,EA,C
1715-05-01-08-16B-02A-016-0009,1715,4,0150,90000502,1,EA,EA,C
1715-05-01-08-16B-02A-016-0009,1715,4,0060,90000039,2,EA,EA,C
1715-05-01-08-16B-02B-016-0010,1715,4,0060,90000537,2,EA,EA,C
1715-05-01-08-16B-02B-016-0010,1715,4,0080,90000126,5,EA,EA,C
1715-05-01-08-16B-02B-016-0010,1715,4,0170,90000502,2,EA,EA,C
1715-05-01-08-16B-02B-016-0010,1715,4,0180,90000170,72,EA,EA,C
1715-05-01-08-16B-02B-016-0010,1715,4,0050,90001032,1,EA,EA,C
1715-05-01-08-16B-02B-016-0010,1715,4,0070,90000264,1,EA,EA,C
1715-05-01-08-16B-02B-016-0010,1715,4,0090,90000039,1,EA,EA,C
