"Material";"Plant";"Material Description";"HasStock";"DUPLICATE_REFERENCE";"MANUFACTURER/VENDOR";"PART_NUMBER";"M";"Utopia_OEMFlag";"Z011_NotOEM";"count(Characteristic Value)";"maximum(Criticality)";"count(BOM Usg)";"CLASS";"MFRPN";"MFRNR";"Class1";"Class2";"Fournisseur";"Priority"
90000379;1715;"HOSE FITTED PCMC 30545071 144IN 3IN DUCT";"true";;"PCMC";"30545071";"PCMC";"NOT OEM";"TRUE";0;0;2;;;;;;;12
90000384;1715;"POWER SUPPLY ELECTRICAL PCMC 59176";"true";;"PCMC";"59176";"PCMC";"NOT OEM";"TRUE";;4;9;;;;;;;16
90000243;1715;"FIXTURE LIGHTING-BODY PCMC 30646794 18W";"false";;"PCMC";"30646794";"PCMC";"NOT OEM";"TRUE";1;2;2;;;;;;;-2
90002123;1715;"BLADE SAW TKM 26274 0.188IN 24IN 0.188IN";"false";;"TKM";"26274";"TKM";"NOT OEM";"FALSE";0;2;1;;;;;;;14
90002071;1715;"BELT FLAT BRETTING 02000945 13.5MM";"false";;"BRETTING";"02000945";"BRETTING";"NOT OEM";"TRUE";0;4;1;;;;;;;4
90002773;1715;"REACTOR LINE EDSON 1321-3R4-B 2HP 600V";"false";;"EDSON";"1321-3R4-B";"EDSON";"NOT OEM";"TRUE";0;;;;;;;;;0
90003012;1715;"SWITCH LIMIT EDSON 802T-A 1/2 IN NPT";"true";;"EDSON";"802T-A";"EDSON";"NOT OEM";"TRUE";2;;;;;;;;;0
90003018;1715;"SWITCH NETWORK ALLEN BRADLEY 1783-ETAP";"false";;"ROCKWELL AUTOMATION";"1783-ETAP";"ALLEN-BRADLEY";"OEM";"FALSE";;;;;;;;;;12
90002298;1715;"CABLE ELECTRICAL AB 2090-CFBM7DF-CEAA15";"false";;"ROCKWELL AUTOMATION";"2090-CFBM7DF-CEAA15";"ALLEN-BRADLEY";"OEM";"FALSE";0;;;;;;;;;12
90002695;1715;"SENSOR PHOTOELEC BANNER Q60BB6AFV1000Q";"true";;"BANNER ENGINEERING";"Q60BB6AFV1000Q";"BANNER ENGINEERING";"NOT OEM";"FALSE";;;;;;;;;;20
90000355;1715;"MOTOR AC PCMC 30650782 B3 60HZ 1800RPM";"false";;"PCMC";"30650782";"PCMC";"NOT OEM";"TRUE";1;2;3;;;;;;;-2
90002258;1715;"CONTACTOR ALLEN BRADLEY 100S-C60DJ14BC";"false";;"ROCKWELL AUTOMATION";"100S-C60DJ14BC";"ALLEN-BRADLEY";"OEM";"FALSE";2;;;;;;;;;4
90002953;1715;"RELAY OVERLOAD BRETTING 08000889 400HZ";"false";;"BRETTING";"08000889";"BRETTING";"NOT OEM";"TRUE";0;;;;;;;;;0
90002784;1715;"POWER SUPPLY ELEC SIEMENS 6EP1353-2BA00";"false";;"SIEMENS";"6EP1353-2BA00";"SIEMENS";"NOT OEM";"FALSE";0;;;;;;;;;12
90002244;1715;"CIRCUIT BREAKER EDSON 140M-C2T-B25";"false";;"EDSON";"140M-C2T-B25";"EDSON";"NOT OEM";"TRUE";;;;;;;;;;0
90002112;1715;"BEARING ROLLER BRETTING 01050035 6IN";"false";;"BRETTING";"01050035";"BRETTING";"NOT OEM";"TRUE";0;2;1;;;;;;;2
90002051;1715;"BEARING SPHERICAL SKF 23226 CCK/W33";"false";;"SKF";"23226";"SKF";"NOT OEM";"FALSE";0;4;2;;;;;;;20
90000508;1715;"SWITCH DISCONNECT PCMC 30646302 30A";"false";;"PCMC";"30646302";"PCMC";"NOT OEM";"TRUE";0;2;1;;;;;;;2
90000354;1715;"MOTOR AC PCMC 30542577 60HZ CLASS B FOOT";"false";;"PCMC";"30542577";"PCMC";"NOT OEM";"TRUE";2;2;2;;;;;;;-2
90000445;1715;"SENSOR PHOTOELECTRICAL PCMC 30337416";"true";;"PCMC";"30337416";"PCMC";"NOT OEM";"TRUE";;4;2;;;;;;;16
