Material Type,Material Group,Material,Description,Base Unit,BatchManagement,Configurable,Mfr Part Number,Manufacturer,Material locked,Division,Supply source,W/ empties BOM
ZER2,U39121439,90000251,FUSE PCMC 150525.018.0,EA,,,,,,,,
ZER2,U39121439,90000252,FUSE PCMC 150525.021.0 10A 600V,EA,,,,,,,,
ZER2,U39121439,90000253,FUSE PCMC 150525.028.0 40A TIME DELAY,EA,,,,,,,,
ZER2,U39121439,90000254,FUSE PCMC 150525.029.0 3A 600V,EA,,,,,,,,
ZER2,U39121439,90000255,FUSE PCMC 150525.033.0 125A TIME DELAY,EA,,,,,,,,
ZER2,U39121439,90000256,FUSE PCMC 150525.038.0 6A TIME DELAY,EA,,,,,,,,
ZER2,U39121439,90000257,FUSE PCMC 150963.021.0 25A TIME DELAY,EA,,,,,,,,
ZER2,U39121439,90000258,FUSE PCMC 150963.022.0 30A TIME DELAY,EA,,,,,,,,
ZER2,U39121439,90000259,FUSE PCMC 29979 90A TIME DELAY 600V,EA,,,,,,,,
ZER2,U39121439,90000260,FUSE PCMC 30107387 450A 600V,EA,,,,,,,,
ZER2,U41112406,90000261,GAUGE VACUUM PCMC 972353.005.0 VACUUM,EA,,,,,,,,
ZER2,U26111524,90000262,GEARBOX INFINITY 501-0001 10:1 56C,EA,,,,,,,,
ZER2,U26111524,90000263,GEARBOX INFINITY 501-0006 15:1 56C,EA,,,,,,,,
ZER2,U26111524,90000264,GEARBOX INFINITY 501-0009 15:1 56C,EA,,,,,,,,
ZER2,U26111524,90000265,GEARBOX INFINITY 501-0045 1:1,EA,,,,,,,,
ZER2,U26111524,90000266,GEARBOX INFINITY 502-0000 10:1,EA,,,,,,,,
ZER2,U26111524,90000267,GEARBOX INFINITY 502-0001 5:1,EA,,,,,,,,
ZER2,U26111524,90000268,GEARBOX PCMC 30004942 10:1 RIGHT ANGLE,EA,,,,,,,,
ZER2,U26111524,90000269,GEARBOX PCMC 30072115 1725RPM 2500:1 2,EA,,,,,,,,
ZER2,U39121601,90000270,CIRCUIT BREAKER PCMC 38886 1 6A,EA,,,,,,,,
ZER2,U39121601,90000271,CIRCUIT BREAKER PCMC 39378 1 20A,EA,,,,,,,,
ZER2,U39121601,90000272,CIRCUIT BREAKER PCMC 45045 1 10A,EA,,,,,,,,
