Colonne3,Class Type,Internal class no.,Colonne1,Colonne2,Item Number
90000068,001,349,U31171505_BRG_RLL,BRG ROLLER,10
90000069,001,349,U31171505_BRG_RLL,BRG ROLLER,10
90000070,001,349,U31171505_BRG_RLL,BRG ROLLER,10
90000071,001,349,U31171505_BRG_RLL,BRG ROLLER,10
90000072,001,349,U31171505_BRG_RLL,BRG ROLLER,10
90000073,001,349,U31171505_BRG_RLL,BRG ROLLER,10
90000074,001,349,U31171505_BRG_RLL,BRG ROLLER,10
90000075,001,349,U31171505_BRG_RLL,BRG ROLLER,10
90000076,001,349,U31171505_BRG_RLL,BRG ROLLER,10
90000077,001,349,U31171505_BRG_RLL,BRG ROLLER,10
90000078,001,349,U31171505_BRG_RLL,BRG ROLLER,10
90000079,001,349,U31171505_BRG_RLL,BRG ROLLER,10
90000656,001,349,U31171505_BRG_RLL,BRG ROLLER,10
90001141,001,349,U31171505_BRG_RLL,BRG ROLLER,10
90001142,001,349,U31171505_BRG_RLL,BRG ROLLER,10
90001143,001,349,U31171505_BRG_RLL,BRG ROLLER,10
90001144,001,349,U31171505_BRG_RLL,BRG ROLLER,10
90001145,001,349,U31171505_BRG_RLL,BRG ROLLER,10
90002023,001,349,U31171505_BRG_RLL,BRG ROLLER,10
90002024,001,349,U31171505_BRG_RLL,BRG ROLLER,10
90002112,001,349,U31171505_BRG_RLL,BRG ROLLER,10
90003499,001,349,U31171505_BRG_RLL,BRG ROLLER,10
90007856,001,349,U31171505_BRG_RLL,BRG ROLLER,10
90008843,001,349,U31171505_BRG_RLL,BRG ROLLER,10
90008844,001,349,U31171505_BRG_RLL,BRG ROLLER,10
90008845,001,349,U31171505_BRG_RLL,BRG ROLLER,10
90008846,001,349,U31171505_BRG_RLL,BRG ROLLER,10
90008847,001,349,U31171505_BRG_RLL,BRG ROLLER,10
90008848,001,349,U31171505_BRG_RLL,BRG ROLLER,10
90008849,001,349,U31171505_BRG_RLL,BRG ROLLER,10
