COEMF REQUEST#,CIE,VENDOR,VENDOR PART #,Part# found in SAP Desc,Material Group,CLASS ID,CLASS DESCRIPTION,SAP PARTS DESCRIPTION FR,SAP PARTS DESCRIPTION EN,LENGTH,PCMC#,COMMENTS,STATUS,SAP#,RESP
361,3411,OMRON,G2R-2-S-AC120(S),,,,,RELAIS 120VAC 5A DPDT,RELAY 120VAC 5A DPDT,21/20,OMRON / G2R-2-S-AC120(S),3411v1808.10,PROD,90012801,
361,3411,OMRON,G2R-2-S-AC24(S) ,,,,,RELAIS 24VAC 5A DPDT,RELAY 24VAC 5A DPDT,20/19,OMRON / G2R-2-S-AC24(S) ,3411v1808.10,PROD,90012800,
361,3411,OMRON,G2R-2-S-DC24(S),,,,,RELAIS 24VDC 5A DPDT,RELAY 24VDC 5A DPDT,20/19,OMRON / G2R-2-S-DC24(S),3411v1808.10,PROD,90012802,
361,3411,OMRON,MK2P-I-DC24,,,,,RELAIS 24VDC 10A DPDT BTN TEST,RELAY 24VDC 10A DPDT TEST BTN,30/29,OMRON / MK2P-I-DC24,3411v1808.10,PROD,90012806,
361,3411,OMRON,MK3P5-I-DC24 ,,,,,RELAIS 24VDC 10A 3PDT BTN TEST,RELAY 24VDC 10A 3PDT TEST BTN,30/29,OMRON / MK3P5-I-DC24 ,3411v1808.10,PROD,90012805,
361,3411,OMRON,MK3P5-S-24VAC,,,,,RELAIS 24VAC 10A 3PDT,RELAY 24VAC 10A 3PDT,21/20,OMRON / MK3P5-S-24VAC,3411v1808.10,PROD,90012803,
361,3411,OMRON,MK3P5-S-AC120 ,,,,,RELAIS 120VAC 10A 3PDT BTN TEST,RELAY 120VAC 10A 3PDT BTN TEST,31/30,OMRON / MK3P5-S-AC120 ,3411v1808.10,PROD,90012808,
361,3411,OMRON,MKS2PI AC120,,,,,RELAIS 120VAC 10A DPDT BTN TEST,RELAY 120VAC 10A DPDT TEST BTN,31/30,OMRON / MKS2PI AC120,3411v1808.10,PROD,90012807,
361,3411,OMRON,MKS2PI-D-2 DC24 ,,,,,RELAIS 24VDC 10A DPDT,RELAY 24VDC 10A DPDT,21/20,OMRON / MKS2PI-D-2 DC24 ,3411v1808.10,PROD,90012804,
361,3411,OMRON,MY4-AC110/120(S) ,,,,,RELAIS 110-120VAC 5A 4PDT,RELAY 110-120VAC 5A 4PDT,25/24,OMRON / MY4-AC110/120(S) ,3411v1808.10,PROD,90012809,
