MATERIAL_NUMBER,MATL GROUP,MATERIAL_SHORT_DESCRIPTION,DUPLICATE_REFERENCE,MANUFACTURER/VENDOR,VENDOR1.x,VENDOR2.x,PART_NUMBER,BRAND,MANUFACTURER/ VENDOR,FinalVendorName,VENDOR,VENDOR1.y,VENDOR2.y,VENDOR PART #,STATUS,Z011.VENDOR,Z011.NAME,Z011.dist
90000073,U31171505,BEARING ROLLER PCMC 30513537 150MM 225MM,NA,PCMC,PCMC,NA,30513537,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000074,U31171505,BEARING ROLLER PCMC 30513723 70MM 150MM,NA,PCMC,PCMC,NA,30513723,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000075,U31171505,BEARING ROLLER PCMC 30513732 65MM 140MM,NA,PCMC,PCMC,NA,30513732,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000076,U31171505,BEARING ROLLER PCMC 30513735 85MM 140MM,NA,PCMC,PCMC,NA,30513735,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000077,U31171505,BEARING ROLLER PCMC 30516469 50MM 110MM,NA,PCMC,PCMC,NA,30516469,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000078,U31171505,BEARING ROLLER PCMC 30516498 70MM 110MM,NA,PCMC,PCMC,NA,30516498,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000079,U31171505,BEARING ROLLER PCMC 37782 20MM 26MM NDL,NA,PCMC,PCMC,NA,37782,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000080,U31171510,BEARING SPHERICAL PCMC 150593.103.0 20MM,NA,PCMC,PCMC,NA,150593.103.0,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000081,U31171510,BEARING SPHERICAL PCMC 30510835 15MM,NA,PCMC,PCMC,NA,30510835,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000082,U31171510,BEARING SPHERICAL PCMC 30513172 20MM,NA,PCMC,PCMC,NA,30513172,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000083,U31171510,BEARING SPHERICAL PCMC 30513178 50MM,NA,PCMC,PCMC,NA,30513178,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000084,U31171507,BEARING THRUST PCMC 30513168 30MM 90MM,NA,PCMC,PCMC,NA,30513168,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000085,U26111804,BELT INFINITY 101-7016E 56IN 6IN,NA,INFINITY,INFINITY,NA,101-7016E,NA,Manufacturer,INFINITY,NA,NA,NA,NA,NA,NA,INFINITY                 	50113,23
90000086,U26111804,BELT INFINITY 101-7019E 97IN 6IN,NA,INFINITY,INFINITY,NA,101-7019E,NA,Manufacturer,INFINITY,NA,NA,NA,NA,NA,NA,INFINITY                 	50113,23
90000087,U26111802,BELT INFINITY 250-30HTD8M1584,NA,INFINITY,INFINITY,NA,250-30HTD8M1584,NA,Manufacturer,INFINITY,NA,NA,NA,NA,NA,NA,INFINITY                 	50113,23
90000088,U26111803,BELT INFINITY 553-0013 CLEAR,NA,INFINITY,INFINITY,NA,553-0013,NA,Manufacturer,INFINITY,NA,NA,NA,NA,NA,NA,INFINITY                 	50113,23
